docid	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprintdate	genres	subjects	locnum	oclc	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
mdp.39015049748554	Fielding, Archibald	1900-	1930.0	1930.0	s	1930	    	1930			PZ3.F4598Cr2	65987448.0	205650	1	1.0	1.0			The Craig poisoning mystery | $c: [by] A. Fielding.		True	The Craig poisoning mystery
mdp.39015063918059	Fletcher, J. S. (Joseph Smith)	1863-1935.	1930.0	1930.0	s	1930	    	1930			PZ3.F634Be	3176156.0	205834	1	1.0	1.0			Behind the monocle, | and other stories, | $c: by J. S. Fletcher.		True	Behind the monocle, and other stories
mdp.39015011951863	Post, Melville Davisson	1871-1930.	1930.0	1930.0	s	1930	    	1930			PZ3.P844Si	9163830.0	205912	1	1.0	1.0			The silent witness, | $c: by Melville Davisson Post.		True	The silent witness
mdp.39015063942679	Luther, Mark Lee	1872-1951.	1930.0	1930.0	s	1930	    	1930				1739266.0	240370	1	1.0	1.0			Card 13, | $c: by Mark Lee Luther and Lillian C. Ford.		True	Card 13
mdp.39015063945888	Morrow, Honoré	1880-1940.	1930.0	1930.0	s	1930	    	1930	Bibliographies	1809-1865|Lincoln, Abraham	PZ3.M8356Las	294137.0	242106	1	1.0	1.0			The last full measure, | $c: by Honoré W. Morrow.		True	The last full measure
mdp.39015006570835	Aldrich, Bess Streeter	1881-1954.	1930.0	1930.0	s	1930	    	1930				5003695.0	242720	2	2.0	2.0			The rim of the prairie, | $c: by Bess Streeter Aldrich.		True	The rim of the prairie
mdp.39015057226410	Propper, Milton Morris	1906-	1930.0	1930.0	s	1930	    	1930			PZ3.P946Ti	6769597.0	243394	1	1.0	1.0			The ticker-tape murder, | $c: by Milton M. Propper.		True	The ticker-tape murder
mdp.39015026773211	Queen, Ellery		1930.0	1930.0	s	1930	    	1930			PZ3.Q295Fr	7761808.0	243656	1	1.0	1.0			The French powder mystery, | a problem in deduction, | $c: by Ellery Queen.		True	The French powder mystery, a problem in deduction
mdp.39015063521101	Ashton, Helen	1891-1958.	1930.0	1930.0	s	1930	    	1930				951500.0	244541	2	2.0	2.0			Doctor Serocold, | a page from his day-book, | $c: by Helen Ashton.		True	Doctor Serocold, a page from his day-book
mdp.39015063551058	Gribble, Leonard R. (Leonard Reginald)	1908-	1930.0	1930.0	s	1930	    	1930			PZ3.G8714Cas 2	1747836.0	244788	1	1.0	1.0			The case of the Marsden rubies, | $c: by Leonard R. Gribble.		True	The case of the Marsden rubies
mdp.39015063930930	Gubsky, Nikolai	b. 1889-	1930.0	1930.0	s	1930	    	1930				8137948.0	244996	1	1.0	1.0			The gladiator | $c: by Nikolai Gubsky.		True	The gladiator
mdp.39015024220322	Hamilton, Mary Agnes	1884-1966.	1930.0	1930.0	s	1930	    	1930			PZ3.H1858Th	6881584.0	245501	1	1.0	1.0			Three against fate, | a tale of 1917.		True	Three against fate, a tale of 1917
