title	words_men	words_women	frac_women	script_id	imdb_id	year	gross
The Lost Son	11597.0	7158.0	0.38165822447347375	4564	tt0144286	1999	
The Lost Weekend	7882.0	2643.0	0.2511163895486936	7494	tt0037884	1945	
The Lost World: Jurassic Park	6008.0	1596.0	0.20988953182535508	4464	tt0119567	1997	434.0
The Lunchbox	3311.0	1951.0	0.370771569745344	6903	tt2350496	2013	4.0
The Magic Toyshop	1769.0	894.0	0.33571160345475026	4577	tt0097806	1987	
The Maiden Heist	7526.0	1086.0	0.12610311193683232	8406	tt1107860	2009	
The Majestic	7211.0	416.0	0.0545430706699882	8616	tt0268995	2001	42.0
The Man Who Knew Too Much	11898.0	7552.0	0.3882776349614396	2838	tt0049470	1956	
The Man in the Iron Mask	7473.0	444.0	0.05608184918529746	1132	tt0120744	1998	105.0
The Manchurian Candidate	11065.0	1463.0	0.11677841634738187	1134	tt0368008	2004	92.0
The Marrying Man	11311.0	3609.0	0.24189008042895443	7135	tt0102411	1991	25.0
The Martian	7353.0	2864.0	0.2803171185279436	8564	tt3659388	2015	235.0
The Mask	4627.0	1583.0	0.25491143317230275	1140	tt0110475	1994	249.0
The Master	13654.0	1028.0	0.07001770875902466	2866	tt1560747	2012	17.0
The Matrix	4629.0	1084.0	0.18974269210572378	1141	tt0133093	1999	292.0
The Matrix Reloaded	2533.0	518.0	0.16978039986889545	1143	tt0234215	2003	405.0
The Maze Runner	8169.0	1155.0	0.12387387387387387	7822	tt1790864	2014	108.0
The Mechanic	7430.0	1164.0	0.13544333255759833	2880	tt0472399	2011	31.0
The Messenger	5523.0	966.0	0.1488673139158576	9004	tt0790712	2009	1.0
The Mirror Has Two Faces	5758.0	7264.0	0.5578252188603902	4630	tt0117057	1996	81.0
The Mist	9211.0	3560.0	0.27875655782632525	6108	tt0884328	2007	32.0
The Mosquito Coast	1738.0	394.0	0.1848030018761726	8452	tt0091557	1986	33.0
The Mothman Prophecies	7502.0	2182.0	0.22532011565468815	4648	tt0265349	2002	52.0
